Year,Month,Day,Human Error,Electrical,Temperature,Wind Speed,Precipitation,Fire Occurred
2021,12,18,0,0,28,1.5,12.4,0
2021,12,19,0,0,25.1,15,3.5,0
2021,12,20,0,0,26.2,1.2,6.5,0
2021,12,21,0,0,26.7,0.9,5.8,0
2021,12,22,0,0,25.7,4.8,4,0
2021,12,23,0,0,26.1,1.1,4.4,0
2021,12,24,0,0,26.2,0.7,3.4,0
2021,12,25,0,0,26.2,0.7,6.2,0
2021,12,26,0,0,26.1,0.1,10,0
2021,12,27,0,0,23.9,30.4,9.4,0
2021,12,28,0,0,24.6,9.5,8.7,0
2021,12,29,0,0,25,0.1,7.8,0
2021,12,30,0,0,25,0,10.5,0
2021,12,31,0,0,24.7,0,10.8,0
2022,1,1,0,0,24.5,7.8,0.1,0
2022,1,2,0,0,24.5,8,0,0
2022,1,3,0,0,24.7,8.2,0,0
2022,1,4,0,0,25.1,10.2,0,0
2022,1,5,0,0,25.1,9.7,0,0
2022,1,6,0,0,25.1,8,1.6,0
2022,1,7,0,0,25.4,7.1,0,0
2022,1,8,0,0,25.1,4.4,2.6,0
2022,1,9,0,0,25.3,3.9,0.6,0
2022,1,10,0,0,25.6,6.3,0.4,0
2022,1,11,0,0,25.6,11.6,0.2,0
2022,1,12,0,0,25.2,5.8,0,0
2022,1,15,0,0,24.6,12.4,0,0
2022,1,16,0,0,24.7,12.9,0,0
2022,1,17,0,0,24.7,10.6,0,0
2022,1,18,0,0,24.5,8.5,0,0
2022,1,19,0,0,25.6,5.1,0,0
2022,1,20,0,0,25.8,7.7,10.3,0
2022,1,22,0,0,26,9.2,0.5,0
2022,1,23,0,0,26.6,6.8,1.6,0
2022,1,24,0,0,26,4.6,0.5,0
2022,1,25,0,0,26.3,7.7,0,0
2022,1,26,0,0,26.6,7.1,2.9,0
2022,1,27,0,0,27.2,9.9,2.2,0
2022,1,28,0,0,27.5,10.7,0.5,0
2022,1,29,0,0,26.9,9,0.5,0
2022,1,30,0,0,26.7,11.5,3.5,0
2022,1,31,0,0,27,7.8,0.2,0
2022,2,1,0,0,26.8,7.8,1.6,0
2022,2,2,0,0,26.4,8.2,0.3,0
2022,2,4,0,0,26.4,6.6,0,0
2022,2,5,0,0,26.1,9.3,0,0
2022,2,6,0,0,26.3,11.5,0,0
2022,2,7,0,0,26.6,11,0,0
2022,2,8,0,0,26.7,5.7,1,0
2022,2,9,0,0,26.9,9.1,0.8,0
2022,2,10,0,0,26.9,9.4,0,0
2022,2,11,0,0,26.7,10.2,0,0
2022,2,12,0,0,26.7,8.5,2.4,0
2022,2,13,0,0,27,10.9,2.4,0
2022,2,14,0,0,26.3,7,4.6,0
2022,2,15,0,0,26.8,5.1,1.4,0
2022,2,16,0,0,26.8,4.5,2.1,0
2022,2,17,0,0,26.9,9,1.8,0
2022,2,18,0,0,27.2,6.9,1.6,0
2022,2,19,0,0,26.7,6.8,0.7,0
2022,2,20,0,0,27.2,6.2,1.4,0
2022,2,21,0,0,27.4,7.5,0.3,0
2022,2,22,0,0,26.9,8,2.9,0
2022,2,23,0,0,26.9,0,7.7,0
2022,2,24,0,0,27.1,6.7,0.7,0
2022,2,25,0,0,27,9.3,0.7,0
2022,2,26,0,0,27.4,8.8,1.4,0
2022,2,27,0,0,27.3,10.8,0.7,0
2022,3,1,0,0,27.5,9.5,0,0
2022,3,2,0,0,27.6,9.9,0.5,0
2022,3,4,0,0,27.7,0.1,9.8,0
2022,3,5,0,0,27.8,11.1,0,0
2022,3,6,0,0,27.8,8,0,0
2022,3,7,0,0,27.5,8.1,0,0
2022,3,8,0,0,27.5,7.8,1.1,0
2022,3,9,0,0,28,9.6,0.2,0
2022,3,10,0,0,28.1,9.4,0,0
2022,3,11,0,0,28.2,4.6,3.8,0
2022,3,12,0,0,27.9,5.6,0,0
2022,3,13,0,0,28.3,6.7,7.1,0
2022,3,15,0,0,28.2,5.8,5.1,0
2022,3,16,0,0,28.6,5.6,5.3,0
2022,3,17,0,0,30.1,10.8,0,0
2022,3,18,0,0,29.1,5.3,4.9,0
2022,3,19,0,0,28.1,5.2,0.9,0
2022,3,20,0,0,29.9,4.8,6.4,0
2022,3,21,0,0,29.6,10.1,0.2,0
2022,3,22,0,0,29.6,7.7,0.2,0
2022,3,23,0,0,29.1,4.9,0.6,0
2022,3,24,0,0,29.4,8.8,0.1,0
2022,3,25,0,0,30.1,13.2,0.4,0
2022,3,26,0,0,29.7,8.3,1.4,0
2022,3,27,0,0,29.4,8.9,0.1,0
2022,3,28,0,0,30.4,9.2,1,0
2022,3,29,0,0,30.7,12.4,0.9,0
2022,3,30,0,0,28.3,12.8,2,0
2022,3,31,0,0,29.8,7.1,0.9,0
2022,4,1,0,0,27.9,6.3,3.8,0
2022,4,2,0,0,27.9,9.5,2.3,0
2022,4,3,0,0,27.6,7.8,0,0
2022,4,4,0,0,22.2,11.3,0,0
2022,4,5,0,0,28.4,7.2,30.7,0
2022,4,6,0,0,24.4,5.7,68.3,0
2022,4,7,0,0,27.6,7,0,0
2022,4,8,0,0,28.1,4.1,16.1,0
2022,4,9,0,0,27.7,4.1,0.9,0
2022,4,10,0,0,29,5.8,10.9,0
2022,4,11,0,0,27.2,8.3,1.8,0
2022,4,12,0,0,27.9,6,0.5,0
2022,4,13,0,0,27.9,7,0,0
2022,4,14,0,0,28,8.3,1.1,0
2022,4,15,0,0,29.6,8,0.1,0
2022,4,16,0,0,29.7,5.4,3.6,0
2022,4,18,0,0,27.9,7.4,0,0
2022,4,19,0,0,22.9,10,0,0
2022,4,20,0,0,24.5,10.3,1.7,0
2022,4,21,0,0,24,8.6,2.8,0
2022,4,22,0,0,24.2,6.9,0,0
2022,4,23,0,0,24.2,8.3,4.8,0
2022,4,24,0,0,24.5,7,0,0
2022,4,25,0,0,25.8,8.8,0.8,0
2022,4,26,0,0,26.6,10.4,0.1,0
2022,4,27,0,0,25,7.5,0.9,0
2022,4,28,0,0,25.6,9.7,1.4,0
2022,4,29,0,0,25.6,13.4,1.8,0
2022,4,30,0,0,26.7,12.2,0,0
2022,5,1,0,0,29.3,13.4,0,0
2022,5,2,0,0,30.6,10.1,0.1,0
2022,5,3,0,0,29.8,8.2,1.4,0
2022,5,5,0,0,29.4,5.9,0,0
2022,5,6,0,0,30,7.6,0,0
2022,5,7,0,0,30.2,9.6,0,0
2022,5,8,0,0,31.1,11.8,0.4,0
2022,5,9,0,0,30.3,11.3,0.5,0
2022,5,10,0,0,28.9,10.7,0.5,0
2022,5,11,0,0,29.6,10.7,0.4,0
2022,5,12,0,0,31,9,1.4,0
2022,5,13,0,0,30.3,7.2,6.7,0
2022,5,14,0,0,29.6,6.9,4.3,0
2022,5,16,0,0,27.7,4.8,17.6,0
2022,5,18,0,0,28,7.7,8.4,0
2022,5,19,0,0,27.9,6.5,10.2,0
2022,5,20,0,0,27.6,10,3,0
2022,5,21,0,0,28.7,5.4,16,0
2022,5,22,0,0,28.3,5.8,0,0
2022,5,23,0,0,28.8,5.5,7.9,0
2022,5,24,0,0,29.8,6.3,9.9,0
2022,5,25,0,0,29.7,5.5,0,0
2022,5,26,0,0,28.9,6,5.6,0
2022,5,27,0,0,29.9,4.9,62.7,0
2022,5,28,0,0,27.2,7.2,0.8,0
2022,5,29,0,0,29.5,5.4,9.1,0
2022,5,30,0,0,29.8,10.4,0,0
2022,5,31,0,0,29.2,5.6,0,0
2022,6,1,0,0,26.8,9.7,19.3,0
2022,6,2,0,0,29.8,8.3,7.1,0
2022,6,3,0,0,30.6,8.6,0,0
2022,6,4,0,0,29.7,7.1,0.8,0
2022,6,5,0,0,30.3,7.1,0,0
2022,6,6,0,0,29.9,7.5,3.6,0
2022,6,7,0,0,29.9,7.3,5,0
2022,6,8,0,0,28.1,6.2,10.3,0
2022,6,9,0,0,29.1,8.7,2,0
2022,6,10,0,0,29.8,5.5,0,0
2022,6,11,0,0,29.7,6.6,1,0
2022,6,12,0,0,30.1,4.3,0,0
2022,6,13,0,0,30.1,4.9,0,0
2022,6,14,0,0,29.2,8.4,8.9,0
2022,6,15,0,0,28.1,6.2,10.9,0
2022,6,16,0,0,28.9,4.5,3,0
2022,6,17,0,0,30.3,5.9,21.1,0
2022,6,18,0,0,28.8,6.9,0,0
2022,6,19,0,0,28.2,5.2,0,0
2022,6,20,0,0,29.7,5.8,4.3,0
2022,6,21,0,0,28.9,8.5,2.3,0
2022,6,22,0,0,27.6,6.7,0.3,0
2022,6,23,0,0,26.8,5,54.1,0
2022,6,24,0,0,28.4,5.6,2.8,0
2022,6,25,0,0,29.3,4.3,0,0
2022,6,26,0,0,27.8,4.4,0,0
2022,6,27,0,0,27.2,4.5,2.8,0
2022,6,28,0,0,27.6,9.7,8.6,0
2022,6,29,0,0,28.8,6.9,17.8,0
2022,6,30,0,0,28.6,7.4,1,0
2022,7,1,0,0,27.8,5.9,2.8,0
2022,7,2,0,0,29.2,9.4,3,0
2022,7,3,0,0,29.8,6.8,0.3,0
2022,7,4,0,0,28.6,6.1,0,0
2022,7,5,0,0,27.8,4.3,7.1,0
2022,7,6,0,0,27.7,4.8,0,0
2022,7,7,0,0,27,3.3,4.1,0
2022,7,8,0,0,28.1,6,45.7,0
2022,7,9,0,0,29.8,10.9,0,0
2022,7,11,0,0,28.1,6.8,37.3,0
2022,7,12,0,0,27.4,6.3,52.1,0
2022,7,13,0,0,28.3,8.8,2.3,0
2022,7,14,0,0,29.4,7.7,0.3,0
2022,7,15,0,0,29.9,6.7,0,0
2022,7,16,0,0,27.7,5,16.8,0
2022,7,17,0,0,27.6,5.6,97.5,0
2022,7,18,0,0,27.1,5.2,1.8,0
2022,7,19,0,0,29.9,8.5,6.1,0
2022,7,20,0,0,29.3,10.8,0,0
2022,7,21,0,0,26.1,5.3,4.8,0
2022,7,22,0,0,28.8,4.8,4.3,0
2022,7,23,0,0,28.2,3.4,1.5,0
2022,7,24,0,0,29.8,5.9,41.1,0
2022,7,25,0,0,27.7,3.8,0,0
2022,7,26,0,0,28.6,4.3,29,0
2022,7,27,0,0,29.4,9.1,0,0
2022,7,28,0,0,29.6,7.8,11.4,0
2022,7,29,0,0,28.3,10.6,17.5,0
2022,7,30,0,0,25.9,12.8,19.3,0
2022,7,31,0,0,27.7,12.1,61.7,0
2022,8,1,0,0,27.3,5.8,0,0
2022,8,2,0,0,28.2,5.9,53.6,0
2022,8,3,0,0,29.2,6.6,0,0
2022,8,4,0,0,26.5,5.3,13.9,0
2022,8,5,0,0,25.9,8.8,34.6,0
2022,8,6,0,0,26.6,13.7,16.8,0
2022,8,7,0,0,27,7.7,9.4,0
2022,8,8,0,0,25.4,8,36.6,0
2022,8,9,0,0,28,7.5,0,0
2022,8,10,0,0,27.9,4.5,3.9,0
2022,8,11,0,0,27.5,6.5,0,0
2022,8,12,0,0,28.6,5.5,2.3,0
2022,8,13,0,0,27.4,5.4,8.6,0
2022,8,14,0,0,27.9,5.7,33.5,0
2022,8,15,0,0,26.4,11.5,14.2,0
2022,8,16,0,0,28.5,14.5,17.3,0
2022,8,17,0,0,27.8,13.2,0,0
2022,8,18,0,0,27.9,6.2,3.8,0
2022,8,19,0,0,28.6,6.3,3.3,0
2022,8,20,0,0,26.7,6.3,0,0
2022,8,21,0,0,27.9,6.6,31.5,0
2022,8,22,0,0,27.6,12.4,2.8,0
2022,8,23,0,0,25.2,24.2,0,0
2022,8,24,0,0,26.8,8,6.5,0
2022,8,25,0,0,28.9,5.1,17.4,0
2022,8,26,0,0,29.5,5.5,0,0
2022,8,27,0,0,27.9,4.3,0.8,0
2022,8,28,0,0,27.9,6.1,1,0
2022,8,29,0,0,28,5.6,30.7,0
2022,8,30,0,0,27.9,6.7,23.9,0
